ward,target
21001001: Ward 1,19.775279742622654
21001002: Ward 2,14.050462388002346
21001003: Ward 3,21.271712160995154
21001004: Ward 4,17.556760230389706
21001005: Ward 5,22.24514410639747
21001006: Ward 6,24.272466532566433
21001007: Ward 7,15.364047068397605
21002001: Ward 1,17.980020122208945
21002002: Ward 2,17.311933203085967
21002003: Ward 3,23.793542310030052
21002004: Ward 4,21.78218894865616
21002005: Ward 5,18.90757681937209
21002006: Ward 6,17.976481454432573
21004001: Ward 1,16.557512222316735
21004002: Ward 2,24.6371124797946
21004003: Ward 3,18.056374949897446
21004004: Ward 4,14.056760104373453
21004005: Ward 5,24.418758655013217
21004006: Ward 6,21.425680769591747
21004007: Ward 7,23.919895720190578
21004008: Ward 8,16.13276297207706
21004009: Ward 9,22.98316816908597
21004010: Ward 10,21.773859735938956
21004011: Ward 11,27.507960967034883
21004012: Ward 12,14.046021469558596
21004013: Ward 13,19.838380446369953
21004014: Ward 14,20.719354704252737
21005001: Ward 1,26.79815466895945
21005002: Ward 2,18.239523433883903
21005003: Ward 3,18.46204126009352
21005004: Ward 4,18.241501545887466
21005005: Ward 5,21.56141844553685
21005006: Ward 6,16.01617055936869
21005007: Ward 7,27.14491312417975
21005008: Ward 8,24.276796514561894
21005009: Ward 9,23.511488992242377
21005010: Ward 10,8.384258927069485
21006001: Ward 1,20.73862986620068
21006002: Ward 2,18.144561590598478
21006003: Ward 3,17.428971296709946
21006004: Ward 4,22.69687766713867
21006005: Ward 5,23.967220235781088
21006006: Ward 6,18.581377009864344
21006007: Ward 7,14.160916708433477
21006008: Ward 8,18.341849808650004
21008001: Ward 1,15.327710057031473
21008002: Ward 2,17.52674092211907
21008003: Ward 3,6.875196082952449
21008004: Ward 4,18.902576937461326
21008005: Ward 5,15.991908567594798
21008006: Ward 6,22.848043468653874
21008007: Ward 7,14.833894541276669
21008008: Ward 8,7.579301760380165
21008009: Ward 9,18.370804828896055
21008010: Ward 10,19.36209714703513
21008011: Ward 11,7.759655284851885
21008012: Ward 12,13.915173948575406
21008013: Ward 13,15.55375212187536
21008014: Ward 14,15.788113102084825
21008015: Ward 15,17.058700709411852
21009001: Ward 1,18.853403493045715
21009002: Ward 2,13.889159242398451
21009003: Ward 3,19.34469329837688
21009004: Ward 4,15.473650108491128
21009005: Ward 5,18.38959061929898
21009006: Ward 6,17.026206912514382
21201001: Ward 1,27.85123232068971
21201002: Ward 2,36.402593470852196
21201003: Ward 3,39.02472488034628
21201004: Ward 4,39.864104400388086
21201005: Ward 5,38.89328424387773
21201006: Ward 6,39.52627094424882
21201007: Ward 7,40.9222075176972
21201008: Ward 8,39.49162056459252
21201009: Ward 9,33.67933900690158
21201010: Ward 10,37.69279174869209
21201011: Ward 11,39.30538717615312
21201012: Ward 12,40.75885556643257
21201013: Ward 13,32.46024775456907
21201014: Ward 14,44.134436609798506
21201015: Ward 15,41.893815126742595
21201016: Ward 16,41.97201328891918
21201017: Ward 17,41.1176312680803
21201018: Ward 18,40.89024703255859
21201019: Ward 19,38.482391258911264
21201020: Ward 20,41.105018150775734
21201021: Ward 21,36.93305762306724
21201022: Ward 22,42.464152442724966
21201023: Ward 23,40.64804228375631
21201024: Ward 24,35.21647227148509
21201025: Ward 25,30.199094503378443
21201026: Ward 26,43.72059562313176
21201027: Ward 27,36.07376148942076
21201028: Ward 28,36.973707300961635
21201029: Ward 29,35.82166071556654
21201030: Ward 30,36.32794527928991
21201031: Ward 31,42.24031979358445
21202001: Ward 1,21.802434433059037
21202002: Ward 2,25.792826998690373
21202003: Ward 3,29.409303212334294
21202004: Ward 4,24.969586706141566
21202005: Ward 5,28.98315926916301
21202006: Ward 6,29.81305743081868
21202007: Ward 7,33.507134564033706
21202008: Ward 8,37.56614342875501
21202009: Ward 9,33.11468325995766
21202010: Ward 10,36.5267397030726
21202011: Ward 11,35.81744429703519
21202012: Ward 12,37.22105436785774
21202013: Ward 13,34.3779681085039
21202014: Ward 14,35.931621834115624
21202015: Ward 15,38.75092318635304
21202016: Ward 16,32.8253037680969
21202017: Ward 17,36.83987247193432
21202018: Ward 18,34.17295021073815
21202019: Ward 19,37.45619139692167
21202020: Ward 20,37.33215581770745
21202021: Ward 21,37.925605488760056
21202022: Ward 22,38.57735079658411
21202023: Ward 23,38.618168960303
21202024: Ward 24,37.94551425777902
21202025: Ward 25,38.82224567512155
21202026: Ward 26,38.528574563916855
21202027: Ward 27,36.496501565545564
21202028: Ward 28,35.483434095757005
21202029: Ward 29,35.33595972597634
21202030: Ward 30,33.80256162896923
21202031: Ward 31,38.38796338182527
21203001: Ward 1,21.30022025545333
21203002: Ward 2,35.31865910701644
21203003: Ward 3,30.512171087783017
21203004: Ward 4,31.834131927861666
21203005: Ward 5,25.63130346221762
21203006: Ward 6,19.504491192443588
21203007: Ward 7,24.08611880572287
21204001: Ward 1,32.148331507947674
21204002: Ward 2,26.136710128758086
21204003: Ward 3,34.72539318503866
21204004: Ward 4,22.94508603223954
21204005: Ward 5,27.06956520807843
21204006: Ward 6,23.922456478163742
21204007: Ward 7,34.954279694429
21204008: Ward 8,33.88837460188601
21204009: Ward 9,27.636264455418978
21204010: Ward 10,31.07630643166809
21204011: Ward 11,32.86543139787371
21204012: Ward 12,35.83427912714104
21204013: Ward 13,29.308734321134693
21204014: Ward 14,27.26239609676387
21204015: Ward 15,30.76254482195577
21206001: Ward 1,31.496968145453973
21206002: Ward 2,30.894379134058767
21206003: Ward 3,32.861943136202314
21206004: Ward 4,33.83441638863373
21206005: Ward 5,31.618853061349064
21206006: Ward 6,31.635603458363185
21206007: Ward 7,26.667467820224882
21206008: Ward 8,29.710360591440292
21206009: Ward 9,30.67827479982823
21206010: Ward 10,23.465043490552183
21206011: Ward 11,28.02702054770982
21206012: Ward 12,27.94402021213883
21301001: Ward 1,26.39098780584517
21301002: Ward 2,24.018882449130224
21301003: Ward 3,24.955841357035613
21301004: Ward 4,21.36077608958991
21301005: Ward 5,7.759685796573919
21301006: Ward 6,17.860599378600714
21301007: Ward 7,21.637211442894454
21301008: Ward 8,20.354106121519727
