iter	RMSE
0	9.918196249
1	9.599927985
2	9.301376033
3	9.014760358
4	8.74619808
5	8.482493678
6	8.246119774
7	8.026044849
8	7.799600747
9	7.58632278
10	7.383981308
11	7.189718623
12	7.00397275
13	6.824124923
14	6.655882521
15	6.491707253
16	6.33738074
17	6.197871165
18	6.066490052
19	5.940328081
20	5.823171576
21	5.714727172
22	5.606177141
23	5.501347985
24	5.406080682
25	5.316169014
26	5.223826015
27	5.131488256
28	5.052618296
29	4.971002919
30	4.891434195
31	4.825665311
32	4.755629825
33	4.693663232
34	4.623544604
35	4.568964717
36	4.512976669
37	4.458449237
38	4.403274581
39	4.355220991
40	4.311889245
41	4.276718828
42	4.239638025
43	4.193286145
44	4.154746755
45	4.122454822
46	4.094244439
47	4.059419556
48	4.026233186
49	3.999066625
50	3.969823617
51	3.936958621
52	3.912060213
53	3.885675477
54	3.861308296
55	3.837031985
56	3.813126008
57	3.790790736
58	3.770801142
59	3.747074014
60	3.728084243
61	3.710701009
62	3.692066195
63	3.672589844
64	3.653555824
65	3.635739078
66	3.622167135
67	3.610254329
68	3.592941182
69	3.574347243
70	3.559550748
71	3.546790701
72	3.533099424
73	3.518996606
74	3.508599852
75	3.501014133
76	3.487393612
77	3.474648849
78	3.462606885
79	3.45225304
80	3.44129517
81	3.430274582
82	3.418316059
83	3.405705866
84	3.397148757
85	3.387133366
86	3.37828007
87	3.371217096
88	3.360623339
89	3.353174533
90	3.341928395
91	3.330305502
92	3.322516357
93	3.313437788
94	3.306837021
95	3.300421136
96	3.295096567
97	3.28896237
98	3.280545934
99	3.273845382
100	3.266333598
101	3.261440267
102	3.254778634
103	3.24831556
104	3.240466786
105	3.234149175
106	3.229014583
107	3.222591468
108	3.213542757
109	3.206967761
110	3.200146222
111	3.191921519
112	3.185567823
113	3.179840321
114	3.169660335
115	3.162942737
116	3.157447369
117	3.152864239
118	3.147341713
119	3.140413402
120	3.134489652
121	3.129557891
122	3.125318648
123	3.121566268
124	3.11542297
125	3.109093695
126	3.103787849
127	3.098106349
128	3.093058775
129	3.08614537
130	3.079529512
131	3.074456092
132	3.066828648
133	3.060148292
134	3.054099989
135	3.04633563
136	3.040057717
137	3.034397021
138	3.029377385
139	3.022010458
140	3.018460223
141	3.014773986
142	3.006601311
143	3.00177959
