iter	Passed	Remaining
0	120	120352
1	149	74834
2	168	56067
3	185	46111
4	213	42512
5	228	37859
6	242	34404
7	256	31809
8	271	29913
9	285	28287
10	300	27000
11	316	26068
12	332	25224
13	346	24375
14	360	23658
15	374	23028
16	388	22480
17	407	22239
18	429	22163
19	444	21784
20	458	21391
21	474	21102
22	489	20790
23	503	20483
24	519	20249
25	533	19981
26	547	19745
27	562	19537
28	577	19350
29	592	19143
30	614	19196
31	628	18998
32	642	18833
33	658	18699
34	674	18608
35	688	18448
36	704	18334
37	724	18350
38	740	18243
39	754	18113
40	770	18021
41	785	17915
42	800	17820
43	824	17922
44	839	17822
45	855	17735
46	871	17679
47	889	17638
48	909	17649
49	937	17804
50	952	17731
51	970	17684
52	985	17614
53	1002	17570
54	1023	17588
55	1041	17552
56	1061	17559
57	1086	17641
58	1100	17557
59	1115	17470
60	1129	17382
61	1144	17313
62	1171	17429
63	1198	17523
64	1232	17735
65	1258	17809
66	1283	17874
67	1307	17923
68	1330	17952
69	1354	17996
70	1377	18020
71	1398	18021
72	1412	17931
73	1435	17957
74	1449	17878
75	1464	17800
76	1479	17740
77	1495	17674
78	1509	17595
79	1524	17526
80	1538	17453
81	1552	17375
82	1565	17300
83	1579	17226
84	1603	17256
85	1627	17291
86	1658	17402
87	1686	17479
88	1711	17515
89	1734	17542
90	1759	17575
91	1779	17559
92	1801	17571
93	1825	17592
94	1846	17592
95	1883	17736
96	1900	17689
97	1916	17637
98	1934	17605
99	1948	17535
100	1962	17469
101	1983	17463
102	2008	17489
103	2030	17493
104	2050	17476
105	2068	17443
106	2089	17440
107	2114	17461
108	2128	17401
109	2142	17336
110	2157	17276
111	2174	17241
112	2195	17233
113	2218	17241
114	2242	17257
115	2266	17268
116	2291	17294
117	2323	17366
118	2351	17405
119	2375	17418
120	2401	17446
121	2424	17446
122	2448	17458
123	2465	17420
124	2483	17384
125	2497	17326
126	2512	17272
127	2533	17261
128	2552	17234
129	2571	17210
130	2589	17178
131	2619	17225
132	2640	17213
133	2660	17192
134	2681	17178
135	2701	17164
136	2722	17151
137	2741	17122
138	2767	17140
139	2785	17109
140	2811	17126
141	2841	17171
142	2860	17144
143	2886	17160
144	2906	17137
145	2929	17137
146	2954	17141
147	2977	17141
148	2994	17101
149	3010	17061
150	3028	17027
151	3046	16996
152	3064	16967
153	3084	16947
154	3101	16907
155	3118	16870
156	3143	16878
157	3161	16849
158	3179	16817
159	3197	16787
160	3214	16750
161	3231	16717
162	3250	16689
163	3274	16694
164	3298	16691
165	3323	16696
166	3346	16691
167	3371	16698
168	3398	16709
